Cat,δ$_{\rm psn1}$,δ$_{\rm psn2}$,δ$_{\rm psn3}$,δ$_{\rm psn4}$
PFT,9.520726620669516,9.590744193258066,9.551127725696077,9.73594701164569
PFT+LNC,9.218176287689477,9.178373617344663,9.192456308198357,9.46150103005022
PFT+LNC+ENV,9.283505083266483,9.270956585168106,9.390189428750778,9.50147893714022
